"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","应用测试","1","0","打开微信应用","0"
"0","","0","系统功能测试","1","0","屏幕滑动操作","0"
