"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","应用测试","0","0","打开微信应用","0"
"1","","0","系统功能测试","0","0","屏幕滑动操作","0"
